storeId,storeName,dateCreated
3,Obi-Wan Kenobi,2020-11-01 0:03:32
3,Obi-Wan Kenobi,2020-11-01 0:06:29
3,Obi-Wan Kenobi,2020-11-01 0:15:22
3,Obi-Wan Kenobi,2020-11-01 0:16:32
3,Obi-Wan Kenobi,2020-11-01 0:21:13
3,Obi-Wan Kenobi,2020-11-01 0:23:47
3,Obi-Wan Kenobi,2020-11-01 0:24:14
3,Obi-Wan Kenobi,2020-11-01 0:26:35
3,Obi-Wan Kenobi,2020-11-01 0:29:39
3,Obi-Wan Kenobi,2020-11-01 0:39:05
3,Obi-Wan Kenobi,2020-11-01 0:40:41
3,Obi-Wan Kenobi,2020-11-01 0:42:16
3,Obi-Wan Kenobi,2020-11-01 0:42:17
3,Obi-Wan Kenobi,2020-11-01 0:49:05
3,Obi-Wan Kenobi,2020-11-01 0:59:26
3,Obi-Wan Kenobi,2020-11-01 1:09:02
3,Obi-Wan Kenobi,2020-11-01 1:18:18
3,Obi-Wan Kenobi,2020-11-01 1:25:58
3,Obi-Wan Kenobi,2020-11-01 1:27:40
3,Obi-Wan Kenobi,2020-11-01 1:53:26
3,Obi-Wan Kenobi,2020-11-01 1:53:34
3,Obi-Wan Kenobi,2020-11-01 2:00:33
3,Obi-Wan Kenobi,2020-11-01 2:02:01
3,Obi-Wan Kenobi,2020-11-01 2:07:02
3,Obi-Wan Kenobi,2020-11-01 2:14:07
3,Obi-Wan Kenobi,2020-11-01 2:15:43
3,Obi-Wan Kenobi,2020-11-01 2:16:54
3,Obi-Wan Kenobi,2020-11-01 2:26:19
3,Obi-Wan Kenobi,2020-11-01 2:26:27
3,Obi-Wan Kenobi,2020-11-01 2:27:53
3,Obi-Wan Kenobi,2020-11-01 2:34:52
3,Obi-Wan Kenobi,2020-11-01 2:37:08
3,Obi-Wan Kenobi,2020-11-01 2:38:03
3,Obi-Wan Kenobi,2020-11-01 2:42:20
3,Obi-Wan Kenobi,2020-11-01 2:48:26
3,Obi-Wan Kenobi,2020-11-01 2:59:11
3,Obi-Wan Kenobi,2020-11-01 3:11:11
3,Obi-Wan Kenobi,2020-11-01 3:14:35
3,Obi-Wan Kenobi,2020-11-01 3:41:41
3,Obi-Wan Kenobi,2020-11-01 3:49:11
3,Obi-Wan Kenobi,2020-11-01 3:50:29
3,Obi-Wan Kenobi,2020-11-01 3:54:12
3,Obi-Wan Kenobi,2020-11-01 3:54:46
3,Obi-Wan Kenobi,2020-11-01 3:58:09
3,Obi-Wan Kenobi,2020-11-01 3:58:12
3,Obi-Wan Kenobi,2020-11-01 3:58:35
3,Obi-Wan Kenobi,2020-11-01 4:08:45
3,Obi-Wan Kenobi,2020-11-01 4:20:22
3,Obi-Wan Kenobi,2020-11-01 4:35:14
3,Obi-Wan Kenobi,2020-11-01 4:36:46
3,Obi-Wan Kenobi,2020-11-01 4:37:40
3,Obi-Wan Kenobi,2020-11-01 4:44:36
3,Obi-Wan Kenobi,2020-11-01 4:56:55
3,Obi-Wan Kenobi,2020-11-01 4:58:57
3,Obi-Wan Kenobi,2020-11-01 4:59:57
3,Obi-Wan Kenobi,2020-11-01 5:01:22
3,Obi-Wan Kenobi,2020-11-01 5:03:14
3,Obi-Wan Kenobi,2020-11-01 5:03:19
3,Obi-Wan Kenobi,2020-11-01 5:04:14
3,Obi-Wan Kenobi,2020-11-01 5:05:07
3,Obi-Wan Kenobi,2020-11-01 5:07:39
3,Obi-Wan Kenobi,2020-11-01 5:09:45
3,Obi-Wan Kenobi,2020-11-01 5:10:41
3,Obi-Wan Kenobi,2020-11-01 5:12:52
3,Obi-Wan Kenobi,2020-11-01 5:16:49
3,Obi-Wan Kenobi,2020-11-01 5:21:13
3,Obi-Wan Kenobi,2020-11-01 5:21:56
3,Obi-Wan Kenobi,2020-11-01 5:35:33
3,Obi-Wan Kenobi,2020-11-01 5:59:54
3,Obi-Wan Kenobi,2020-11-01 6:01:10
3,Obi-Wan Kenobi,2020-11-01 6:01:10
3,Obi-Wan Kenobi,2020-11-01 6:02:16
3,Obi-Wan Kenobi,2020-11-01 6:07:34
3,Obi-Wan Kenobi,2020-11-01 6:07:55
3,Obi-Wan Kenobi,2020-11-01 6:11:12
3,Obi-Wan Kenobi,2020-11-01 6:12:49
3,Obi-Wan Kenobi,2020-11-01 6:44:17
3,Obi-Wan Kenobi,2020-11-01 6:46:41
3,Obi-Wan Kenobi,2020-11-01 6:48:10
3,Obi-Wan Kenobi,2020-11-01 6:50:00
3,Obi-Wan Kenobi,2020-11-01 6:52:06
3,Obi-Wan Kenobi,2020-11-01 6:54:17
3,Obi-Wan Kenobi,2020-11-01 6:55:06
